餐厅名称,餐厅ID,市场,城市,订单TC,人工干预TC,去除大单TC,人工干预TC占比,准点率,30分钟内送达TC,30分钟送达TC占比,投诉TC,投诉TC占比,平均离店时间,等待骑手时间,等待餐点时间,订单平均完成时间,趟次,并单率,延时时间,宅急送营业时间,延时占营业时间,停单时间,停单占营业时间,骑手实际工作时间,CPH,到店违规占比,妥投违规占比,离店违规占比,到店违规TC,妥投违规TC,离店违规TC,准时TC,计费TC,
GZ1574黄埔东路PH,	1295,广州市场,广州市,467,18,467,3.85%,96.36%,288,61.67%,1,0.21%,18.3,7.2,11.1,28.1,315,1.48,66.1,4830,1.37%,43.3,0.9%,296.6,1.57,0.1263,0.0236,0.0214,59,11,10,450,468,
PBJ262九棵树店PH,	1570,北京市场,北京市,298,11,296,3.69%,94.93%,156,52.7%,1,0.34%,17.4,8.8,8.6,30.8,219,1.36,194.6,5040,3.86%,0.0,0%,235.3,1.27,0.0034,0.0000,0.0000,1,0,0,281,299,
FSY001丰台万达必胜客餐厅,	730,北京市场,北京市,513,428,503,83.43%,71.57%,118,23.46%,38,7.41%,12.2,8.1,6.7,38.8,214,2.40,269.7,5040,5.35%,6.8,0.13%,236.8,2.17,0.0497,0.5527,0.0477,25,278,24,360,311,
PBJ782联想桥PHHS,	2187,北京市场,北京市,1240,47,1228,3.79%,94.11%,648,52.98%,13,1.05%,17.7,6.9,10.8,30.4,633,1.96,145.6,5040,2.89%,0.0,0%,518.4,2.39,0.0033,0.0392,0.0114,4,48,14,1151,1240,
PS1730义乌稠州西路店PHHS,	2462,杭州市场,金华市,546,54,541,9.89%,90.56%,281,52.04%,2,0.37%,17.6,7.4,10.2,30.5,392,1.39,130.3,5040,2.59%,0.0,0%,359.7,1.52,0.0056,0.0278,0.0315,3,15,17,489,549,
GZH701HS景田,	2333,深圳市场,深圳市,665,57,655,8.57%,97.54%,395,60.68%,2,0.3%,18.6,5.7,12.9,28.1,402,1.65,28.8,5040,0.57%,0.0,0%,349.7,1.90,0.2642,0.0661,0.0399,172,43,26,635,665,
GZ2524大浪PH,	247,深圳市场,深圳市,370,37,368,10%,95.64%,159,43.32%,4,1.08%,21.0,10.2,10.8,30.5,266,1.39,18.2,4830,0.38%,0.0,0%,281.4,1.31,0.0163,0.0327,0.0054,6,12,2,351,370,
YLC002莞太餐厅,	1042,广州市场,东莞市,133,94,130,70.68%,95.38%,80,61.54%,2,1.5%,18.1,13.3,4.9,28.2,117,1.14,17.8,5040,0.35%,0.0,0%,184.8,0.72,0.0231,0.0692,0.0231,3,9,3,124,129,
PBJ701惠新西街,	2379,北京市场,北京市,1656,6,1642,0.36%,97.13%,1155,70.47%,6,0.36%,10.6,3.1,7.4,25.6,826,2.00,74.6,5040,1.48%,14.2,0.28%,819.5,2.02,0.0018,0.0092,0.0037,3,15,6,1592,1656,
PSH826新城银泰,	1443,杭州市场,宁波市,495,15,491,3.03%,91.65%,255,51.93%,6,1.21%,20.2,8.1,12.1,30.6,321,1.54,102.8,5040,2.04%,0.0,0%,309.3,1.60,0.0183,0.0183,0.0326,9,9,16,450,494,
GZH762永泰PHHS,	2356,广州市场,广州市,415,41,409,9.88%,96.58%,216,52.81%,4,0.96%,16.0,5.6,10.5,29.5,290,1.43,48.2,5040,0.96%,0.0,0%,292.5,1.42,0.0024,0.0391,0.0269,1,16,11,395,416,
PBJ129紫竹桥苏宁,	1741,北京市场,北京市,551,33,545,5.99%,86.4%,246,45.22%,2,0.36%,19.1,8.1,11.0,31.8,342,1.61,108.9,5040,2.16%,0.0,0%,284.7,1.94,0.0000,0.0037,0.0018,0,2,1,470,552,
GZH811机场路,	385,广州市场,广州市,243,9,242,3.7%,99.17%,148,61.41%,1,0.41%,18.5,6.5,12.2,27.6,185,1.31,80.1,4830,1.66%,0.0,0%,161.5,1.50,0.0041,0.0332,0.0207,1,8,5,239,240,
GZ2553百汇PH,	683,广州市场,中山市,71,0,70,0%,100%,46,65.71%,1,1.41%,18.0,6.4,11.6,27.2,62,1.15,83.2,4830,1.72%,0.0,0%,126.3,0.56,0.0000,0.0286,0.0286,0,2,2,70,71,
GZ1573桥光PH,	648,广州市场,东莞市,200,3,198,1.5%,97.98%,128,64.65%,0,0%,16.4,4.4,12.0,26.3,157,1.27,89.5,5040,1.78%,8.0,0.16%,161.7,1.24,0.0000,0.0505,0.0101,0,10,2,194,200,
PSH412宁波恒一广场店PH,	923,杭州市场,宁波市,347,22,344,6.34%,97.38%,235,68.31%,0,0%,18.9,8.9,10.0,27.1,239,1.45,23.0,4725,0.49%,0.0,0%,225.7,1.54,0.0000,0.0233,0.0058,0,8,2,335,347,
GZ2535柳州万达PH,	407,深圳市场,柳州市,371,53,369,14.29%,95.63%,134,36.61%,2,0.54%,21.1,10.1,11.0,33.0,261,1.42,200.9,5040,3.99%,45.2,0.9%,200.6,1.85,0.0000,0.0874,0.0027,0,32,1,350,370,
GZ1813瑞峰天虹店PH,	1434,广州市场,惠州市,227,23,224,10.13%,84.82%,93,41.52%,4,1.76%,21.5,12.1,9.3,34.2,163,1.39,191.8,4830,3.97%,107.0,2.21%,179.3,1.27,0.0000,0.0491,0.0714,0,11,16,190,230,
PSH167杭州武林,	1698,杭州市场,杭州市,370,47,370,12.7%,97.3%,241,65.14%,3,0.81%,17.7,9.5,8.2,27.4,261,1.42,33.1,4830,0.69%,0.0,0%,224.4,1.65,0.0000,0.0243,0.0216,0,9,8,360,370,
GZH562鸿福PH,	1675,广州市场,东莞市,412,17,404,4.13%,91.79%,227,56.47%,4,0.97%,18.5,5.8,12.7,29.2,307,1.34,34.2,5040,0.68%,8.0,0.16%,318.4,1.29,0.0000,0.0348,0.0050,0,14,2,369,408,
GZ1570里水PH,	1950,广州市场,佛山市,122,4,119,3.28%,89.92%,58,48.74%,1,0.82%,20.3,6.2,14.0,30.5,105,1.16,56.8,5040,1.13%,0.7,0.01%,166.1,0.73,0.0000,0.0000,0.0000,0,0,0,107,122,
GZ1601天虹卫星PH,	2404,广州市场,佛山市,285,64,283,22.46%,89.29%,106,37.86%,8,2.81%,20.2,10.2,10.0,34.0,212,1.34,371.7,6083,6.11%,15.5,0.25%,177.9,1.60,0.0000,0.1821,0.0036,0,51,1,250,287,
PBJ749宋庄路,	2291,北京市场,北京市,1351,4,1344,0.3%,98.44%,914,68.01%,4,0.3%,11.4,2.4,9.1,26.0,718,1.88,4.9,5040,0.1%,0.0,0%,615.8,2.19,0.0015,0.0074,0.0052,2,10,7,1323,1351,
GZ1541宝能太古城PH,	1812,深圳市场,深圳市,249,45,248,18.07%,99.19%,134,54.03%,1,0.4%,18.4,8.1,10.3,30.0,193,1.29,57.9,5040,1.15%,0.0,0%,225.4,1.10,0.0000,0.0121,0.0000,0,3,0,246,249,
PBJ761科荟路店PHHS,	2702,北京市场,北京市,1690,130,1674,7.69%,92.56%,946,57.68%,19,1.12%,14.1,5.5,8.6,28.8,827,2.04,179.0,5040,3.55%,0.0,0%,670.7,2.52,0.0055,0.0402,0.0043,9,66,7,1518,1687,
GZ1825新海上世界店PH,	594,深圳市场,深圳市,201,14,198,6.97%,73.74%,51,25.76%,5,2.49%,24.4,11.3,13.1,37.0,154,1.31,108.1,4830,2.24%,25.2,0.52%,164.8,1.22,0.0051,0.0202,0.0556,1,4,11,146,201,
GGH002玉林万达餐厅,	2416,深圳市场,玉林市,140,16,139,11.43%,82.73%,58,41.73%,5,3.57%,21.4,9.7,12.0,34.6,123,1.14,228.6,5033,4.54%,65.4,1.3%,132.2,1.06,0.0000,0.0504,0.0288,0,7,4,115,141,
PBJ103积水潭,	1316,北京市场,北京市,900,61,885,6.78%,90.47%,304,34.51%,7,0.78%,21.7,12.4,9.3,34.6,485,1.86,383.5,5040,7.61%,3.9,0.08%,415.3,2.17,0.0011,0.0204,0.0045,1,18,4,797,901,
GZH849科学大道PH,	1985,广州市场,广州市,248,41,234,16.53%,90.17%,106,45.3%,3,1.21%,20.0,10.2,10.1,32.2,194,1.28,365.1,4830,7.56%,62.9,1.3%,174.7,1.42,0.0000,0.2051,0.0385,0,48,9,211,249,
BFC001苍南银泰餐厅,	1286,杭州市场,温州市,342,8,340,2.34%,19.12%,7,2.06%,29,8.48%,46.0,8.3,37.8,59.3,217,1.58,409.3,5040,8.12%,50.7,1.01%,297.2,1.15,0.0059,0.8853,0.0000,2,301,0,65,342,
GZH590西城楼PH,	422,广州市场,东莞市,193,11,191,5.7%,98.95%,106,55.5%,1,0.52%,16.4,4.8,11.6,28.4,152,1.27,59.5,5040,1.18%,8.1,0.16%,185.3,1.04,0.0000,0.0681,0.0157,0,13,3,189,188,
YLY001上虞万达餐厅,	1912,杭州市场,绍兴市,169,169,169,100%,69.23%,68,40.24%,2,1.18%,0.0,7.9,0.0,38.0,113,1.50,106.5,5040,2.11%,8.0,0.16%,162.7,1.04,0.0000,1.0000,0.0000,0,169,0,117,171,
GZH842科苑PH,	1593,深圳市场,深圳市,116,11,113,9.48%,88.5%,40,35.4%,0,0%,25.9,15.8,10.1,36.8,85,1.36,797.8,4830,16.52%,161.7,3.35%,89.6,1.29,0.0000,0.0354,0.0000,0,4,0,100,116,
GZH707麒麟HS,	2218,深圳市场,深圳市,530,40,522,7.55%,92.9%,289,55.47%,1,0.19%,18.1,6.3,11.8,30.0,327,1.62,22.5,5040,0.45%,0.0,0%,262.2,2.02,0.0614,0.0134,0.0096,32,7,5,484,530,
GZ2575梅州万达PH,	1297,广州市场,梅州市,116,5,116,4.31%,98.28%,62,53.45%,0,0%,18.3,8.8,9.5,29.8,89,1.30,175.8,5040,3.49%,12.2,0.24%,105.8,1.10,0.0086,0.0603,0.0259,1,7,3,114,116,
PBJ298赛尔奥莱店PH,	1572,北京市场,北京市,240,8,238,3.33%,79.83%,97,40.76%,9,3.75%,23.2,13.3,9.8,36.9,170,1.41,340.0,4830,7.04%,206.6,4.28%,205.7,1.17,0.0084,0.0378,0.0252,2,9,6,190,242,
PBJ754陶然桥店PHHS,	2256,北京市场,北京市,1347,7,1327,0.52%,94.87%,856,64.6%,4,0.3%,9.7,3.6,6.2,27.5,728,1.85,80.9,5040,1.61%,0.0,0%,636.7,2.12,0.0030,0.0091,0.0091,4,12,12,1257,1348,
PSH809定海凯虹,	1798,杭州市场,舟山市,238,26,238,10.92%,93.7%,105,44.12%,4,1.68%,21.5,11.7,9.8,32.3,177,1.34,200.9,5040,3.99%,32.0,0.64%,187.9,1.27,0.0000,0.0336,0.0042,0,8,1,223,238,
GZ1565凤凰城PH,	396,广州市场,广州市,414,127,404,30.68%,93.8%,182,45.16%,1,0.24%,21.3,8.3,13.0,31.8,294,1.41,121.2,4830,2.51%,5.6,0.12%,325.6,1.27,0.0124,0.1439,0.0496,5,58,20,378,414,
YLC005佛山季华四餐厅,	2093,广州市场,佛山市,162,63,160,38.89%,90%,67,41.88%,2,1.23%,21.2,13.6,7.7,33.2,110,1.47,264.6,5040,5.25%,46.1,0.92%,85.9,1.89,0.0188,0.1688,0.0188,3,27,3,144,160,
PBJ775东坝店PHHS,	2164,北京市场,北京市,902,11,896,1.22%,98.32%,576,64.36%,1,0.11%,10.9,2.1,8.7,27.4,544,1.66,1.9,5040,0.04%,0.0,0%,589.9,1.53,0.0011,0.0101,0.0134,1,9,12,880,902,
GZ2585秀英万达PH,	1400,深圳市场,海口市,398,3,398,0.75%,98.99%,201,50.76%,0,0%,18.3,5.6,12.7,29.7,241,1.65,77.5,5040,1.54%,31.9,0.63%,277.1,1.44,0.0000,0.0202,0.0025,0,8,1,392,398,
PSH857长兴九汇城店PH,	329,杭州市场,湖州市,216,29,216,13.43%,95.83%,139,64.35%,0,0%,18.9,8.8,10.1,28.0,170,1.27,63.7,5040,1.26%,0.0,0%,175.8,1.23,0.0000,0.0185,0.0000,0,4,0,207,216,
GZH555丽影-PH,	1984,广州市场,广州市,174,28,172,16.09%,95.29%,72,42.35%,0,0%,17.1,7.9,9.3,31.3,141,1.23,80.4,4830,1.66%,0.0,0%,170.1,1.02,0.0118,0.1118,0.0118,2,19,2,162,177,
GYY002陈村大道,	2681,广州市场,佛山市,230,81,229,35.22%,66.81%,66,28.82%,5,2.17%,24.4,15.9,8.9,38.7,187,1.23,390.1,4823,8.09%,429.6,8.91%,167.1,1.38,0.0480,0.0699,0.0480,11,16,11,153,232,
PSH290海盐秦山,	902,杭州市场,嘉兴市,547,38,546,6.95%,96.33%,299,54.86%,1,0.18%,19.1,8.5,10.7,29.4,338,1.62,219.6,4830,4.55%,0.0,0%,257.8,2.12,0.0202,0.0110,0.0037,11,6,2,525,548,
GZ2517风度名城PH,	595,广州市场,韶关市,92,6,91,6.52%,100%,64,71.11%,0,0%,16.1,7.1,9.0,27.0,80,1.15,0.0,5040,0%,0.0,0%,172.1,0.53,0.0000,0.0444,0.0111,0,4,1,90,92,
PSH461杭州尚城利星店PH,	870,杭州市场,杭州市,571,36,566,6.3%,82.33%,141,24.91%,3,0.53%,24.3,13.0,11.4,36.7,339,1.68,182.2,4620,3.94%,8.0,0.17%,373.4,1.53,0.0018,0.0548,0.0088,1,31,5,466,571,
PS1772临平东湖店PHHS,	2280,杭州市场,杭州市,659,111,656,16.84%,95.43%,314,47.87%,3,0.46%,17.6,8.4,9.1,30.8,419,1.57,192.7,5040,3.82%,0.0,0%,355.4,1.85,0.0030,0.0061,0.0183,2,4,12,626,659,
GZH804万达广场PH,	765,广州市场,广州市,109,11,109,10.09%,99.08%,59,54.13%,0,0%,14.7,7.8,7.0,27.4,93,1.17,99.4,5040,1.97%,23.0,0.46%,147.8,0.74,0.1101,0.1101,0.0550,12,12,6,108,109,
GZH825大东海PH,	1676,深圳市场,三亚市,209,2,207,0.96%,99.52%,136,65.7%,0,0%,19.7,10.3,9.4,27.3,158,1.32,519.2,5040,10.3%,74.5,1.48%,118.2,1.77,0.0000,0.0628,0.0097,0,13,2,206,209,
ZJS003三乡,	2713,广州市场,中山市,222,37,218,16.67%,99.54%,143,65.9%,2,0.9%,17.1,7.7,9.7,28.0,191,1.16,241.0,5033,4.79%,32.9,0.65%,158.0,1.41,0.0046,0.0645,0.0092,1,14,2,216,214,
GZ1819星河湾店PH,	1951,广州市场,广州市,24,6,24,25%,100%,17,70.83%,0,0%,18.1,7.0,11.1,25.9,18,1.33,23.0,1440,1.6%,0.0,0%,26.5,0.90,0.1250,0.0000,0.0000,3,0,0,24,24,
PBJ277和谐广场店PH,	297,北京市场,北京市,327,11,324,3.36%,92.5%,147,45.94%,8,2.45%,22.2,12.8,9.4,33.4,220,1.49,262.1,5040,5.2%,8.9,0.18%,219.4,1.49,0.0406,0.0875,0.0875,13,28,28,296,327,
PBJ271长阳店PH,	213,北京市场,北京市,382,3,381,0.79%,97.9%,234,61.42%,2,0.52%,17.1,5.5,11.6,28.2,207,1.85,160.9,5040,3.19%,0.0,0%,178.1,2.14,0.0079,0.0105,0.0079,3,4,3,373,382,
PSH579萧山义蓬乐购店PH,	858,杭州市场,杭州市,226,5,226,2.21%,97.35%,145,64.16%,2,0.88%,20.9,15.9,5.0,28.1,172,1.31,63.4,4830,1.31%,30.0,0.62%,190.9,1.18,0.0000,0.0177,0.0000,0,4,0,220,226,
GZ1568横岗天虹PH,	397,深圳市场,深圳市,253,29,248,11.46%,99.6%,136,54.84%,1,0.4%,20.0,8.8,11.1,29.6,189,1.34,70.7,4830,1.46%,0.0,0%,197.2,1.28,0.0000,0.0323,0.0242,0,8,6,247,254,
PBJ110天通苑,	2014,北京市场,北京市,326,21,326,6.44%,93.87%,178,54.6%,3,0.92%,17.0,7.6,9.4,29.7,209,1.56,294.8,5040,5.85%,17.0,0.34%,157.3,2.07,0.0276,0.0399,0.0215,9,13,7,306,326,
GZH539嘉洲广场PH,	819,广州市场,佛山市,211,15,209,7.11%,92.79%,85,40.87%,0,0%,20.8,8.4,12.3,32.0,169,1.25,203.1,4830,4.21%,0.0,0%,188.6,1.12,0.0144,0.0096,0.0192,3,2,4,193,213,
PBJ264王府井淘汇店PH,	787,北京市场,北京市,273,8,268,2.93%,96.21%,169,64.02%,2,0.73%,15.8,7.7,8.1,27.9,206,1.33,50.9,5040,1.01%,0.0,0%,201.8,1.35,0.0000,0.0265,0.0076,0,7,2,254,272,
PSH889杭州东站,	2141,杭州市场,杭州市,176,176,176,100%,98.86%,20,11.36%,0,0%,0.0,0.0,0.0,102.3,176,1.00,0.0,6713,0%,0.0,0%,0.0,0.00,0.0000,0.0000,0.0000,0,0,0,174,0,
GZH848奥体PH,	1201,广州市场,广州市,88,10,87,11.36%,98.85%,41,47.13%,0,0%,21.0,7.9,13.1,30.0,73,1.21,8.0,4830,0.17%,0.0,0%,151.3,0.58,0.0115,0.0460,0.0000,1,4,0,86,88,
PSH897慈溪吾悦,	1444,杭州市场,宁波市,274,33,273,12.04%,97.06%,191,70.22%,2,0.73%,17.2,8.6,8.6,26.8,185,1.48,99.0,5040,1.96%,0.0,0%,171.4,1.60,0.0000,0.0294,0.0184,0,8,5,264,274,
PBJ028希望,	892,北京市场,北京市,86,3,86,3.49%,97.67%,63,73.26%,1,1.16%,17.3,7.4,9.9,25.3,67,1.28,43.1,6083,0.71%,0.0,0%,120.3,0.71,0.0930,0.0000,0.0698,8,0,6,84,86,
PBJ739香河园,	2197,北京市场,北京市,1011,39,995,3.86%,95.66%,663,66.97%,7,0.69%,13.0,3.7,9.3,27.0,596,1.70,80.8,5040,1.6%,0.0,0%,541.2,1.87,0.0030,0.0091,0.0121,3,9,12,947,1012,
GZ2513仲恺PH,	720,广州市场,惠州市,202,18,198,8.91%,97.42%,103,53.09%,2,0.99%,19.0,10.1,8.9,30.2,156,1.29,261.0,5040,5.18%,30.1,0.6%,145.1,1.39,0.0000,0.0206,0.0052,0,4,1,189,199,
GZ1820梧州旺城店PH,	1526,深圳市场,梧州市,251,12,249,4.78%,98.8%,138,55.42%,0,0%,18.5,8.3,10.1,30.0,186,1.35,259.8,4830,5.38%,32.5,0.67%,157.0,1.60,0.0281,0.1365,0.0843,7,34,21,246,250,
GZ2529桂林高新万达PH,	406,深圳市场,桂林市,233,14,232,6.01%,94.4%,78,33.62%,4,1.72%,19.6,5.6,14.0,33.1,181,1.29,28.9,5040,0.57%,0.0,0%,260.5,0.89,0.0000,0.0603,0.0129,0,14,3,219,234,
GZH556龙华美丽店PH,	258,深圳市场,深圳市,285,34,284,11.93%,95.07%,97,34.15%,2,0.7%,23.2,13.8,9.6,34.9,199,1.43,539.5,5040,10.7%,80.9,1.61%,161.7,1.76,0.0070,0.0634,0.0141,2,18,4,270,285,
GZ1807河源丽日店PH,	1433,广州市场,河源市,169,18,166,10.65%,95.09%,106,65.03%,1,0.59%,18.6,8.9,9.7,27.5,128,1.32,83.8,5040,1.66%,36.7,0.73%,174.7,0.97,0.0307,0.0798,0.0061,5,13,1,155,169,
PBJ152顺义,	1891,北京市场,北京市,284,39,282,13.73%,91.13%,60,21.28%,3,1.06%,22.8,14.1,8.8,35.4,205,1.39,97.6,5040,1.94%,0.0,0%,285.3,1.00,0.0355,0.0957,0.0284,10,27,8,257,284,
PBJ092万丰路,	281,北京市场,北京市,305,27,304,8.85%,84.49%,124,40.92%,11,3.61%,23.1,14.0,9.3,36.4,209,1.46,292.4,5040,5.8%,97.9,1.94%,207.0,1.47,0.0594,0.0891,0.0594,18,27,18,256,304,
GZ1530北江PH,	1328,广州市场,韶关市,26,0,26,0%,92.31%,17,65.38%,0,0%,16.9,5.5,11.4,25.8,26,1.00,12.0,6083,0.2%,0.0,0%,82.7,0.31,0.0769,0.0769,0.0769,2,2,2,24,26,
GZ1539三水广场PH,	1603,广州市场,佛山市,281,7,277,2.49%,95.65%,147,53.26%,0,0%,17.7,7.7,10.0,29.1,207,1.36,139.1,5040,2.76%,17.0,0.34%,191.2,1.47,0.0072,0.0326,0.0145,2,9,4,264,281,
PBJ297建国门外大街店PH,	1775,北京市场,北京市,334,39,316,11.68%,99.05%,239,75.63%,1,0.3%,18.5,8.8,9.7,25.1,239,1.40,184.3,5040,3.66%,25.0,0.5%,155.8,2.14,0.0000,0.0127,0.0032,0,4,1,313,335,
GZH711区庄PHHS,	2206,广州市场,广州市,608,44,598,7.24%,93.3%,345,57.79%,2,0.33%,17.9,7.3,10.6,29.5,401,1.52,85.3,5040,1.69%,7.4,0.15%,311.4,1.95,0.0620,0.1173,0.0369,37,70,22,557,608,
PBJ753富力阳光店PHHS,	2279,北京市场,北京市,862,25,857,2.9%,94.74%,570,66.59%,4,0.46%,12.1,1.6,10.5,26.2,495,1.74,4.5,5040,0.09%,0.0,0%,451.7,1.91,0.0152,0.0374,0.0093,13,32,8,811,862,
PSH770萧山金城路,	2311,杭州市场,杭州市,715,85,708,11.89%,97.41%,398,57.27%,4,0.56%,16.2,6.3,9.9,28.9,434,1.65,123.2,5040,2.44%,8.0,0.16%,401.7,1.78,0.0000,0.0403,0.0115,0,28,8,677,715,
PBJ037劲松,	1659,北京市场,北京市,633,20,626,3.16%,96%,369,59.04%,4,0.63%,17.0,5.5,11.5,28.1,400,1.58,43.8,5040,0.87%,0.0,0%,352.4,1.80,0.0032,0.0128,0.0064,2,8,4,600,634,
GZ1545望海PH,	629,深圳市场,海口市,158,14,158,8.86%,100%,102,67.55%,0,0%,22.6,11.0,11.7,30.0,119,1.33,114.1,4830,2.36%,0.0,0%,146.3,1.08,0.0000,0.1258,0.0000,0,19,0,151,159,
PSH083金华福华,	1745,杭州市场,金华市,252,33,250,13.1%,94.78%,102,40.96%,2,0.79%,21.2,11.1,10.1,31.6,177,1.42,157.2,5040,3.12%,18.0,0.36%,165.4,1.52,0.0080,0.0402,0.0281,2,10,7,236,252,
PBJ047白石桥,	1418,北京市场,北京市,391,39,378,9.97%,93.12%,136,35.98%,3,0.77%,21.6,11.3,10.3,33.3,277,1.41,224.1,4830,4.64%,9.1,0.19%,223.2,1.75,0.0000,0.0265,0.0212,0,10,8,352,396,
PSH413衢州东方广场店PH,	1722,杭州市场,衢州市,139,16,138,11.51%,97.81%,85,62.04%,0,0%,18.6,7.8,11.1,27.4,118,1.18,34.9,4830,0.72%,5.0,0.1%,159.9,0.87,0.0073,0.0365,0.0000,1,5,0,134,139,
BMB002紫金必胜客欢乐餐厅,	1287,北京市场,北京市,921,59,912,6.41%,99.89%,571,62.61%,1,0.11%,16.1,6.4,9.7,26.9,522,1.76,41.3,5040,0.82%,0.0,0%,403.4,2.28,0.0066,0.0493,0.0088,6,45,8,911,920,
PSH297杭州西田,	314,杭州市场,杭州市,365,139,365,38.08%,92.05%,101,27.67%,2,0.55%,22.4,12.2,10.2,34.9,286,1.28,78.1,5040,1.55%,27.8,0.55%,340.0,1.07,0.0000,0.0274,0.0849,0,10,31,336,365,
GZ1547柳州谷埠PH,	1430,深圳市场,柳州市,210,0,210,0%,99.05%,102,48.57%,0,0%,21.9,7.9,14.0,30.3,152,1.38,70.3,4830,1.46%,0.0,0%,185.9,1.13,0.0048,0.2095,0.1857,1,44,39,208,213,
GZ1808滨江东店PH,	578,广州市场,广州市,114,10,112,8.77%,97.32%,39,34.82%,2,1.75%,23.1,12.5,10.6,35.2,82,1.39,570.1,4830,11.8%,18.1,0.38%,128.7,0.89,0.0714,0.0714,0.0179,8,8,2,109,114,
PS1723杭州新塘路店PHHS,	2475,杭州市场,杭州市,1231,31,1219,2.52%,92.83%,585,48.19%,4,0.32%,19.7,6.9,12.8,31.1,663,1.86,56.1,5040,1.11%,0.0,0%,690.7,1.78,0.0280,0.0535,0.0404,34,65,49,1127,1232,
GZ2823新侨香PH,	721,深圳市场,深圳市,117,8,114,6.84%,98.25%,88,77.19%,2,1.71%,21.4,11.3,10.2,30.0,84,1.39,359.0,5040,7.12%,0.0,0%,83.4,1.40,0.0263,0.1140,0.0000,3,13,0,112,118,
GZ1815东升店PH,	1671,广州市场,中山市,205,3,202,1.46%,96.53%,122,60.4%,0,0%,16.0,8.9,7.1,28.6,158,1.30,94.6,4830,1.96%,8.9,0.18%,194.6,1.05,0.0000,0.0297,0.0000,0,6,0,195,204,
PBJ294大兴绿地店PH,	882,北京市场,北京市,449,34,445,7.57%,95.72%,234,52.7%,6,1.34%,18.9,8.9,10.1,31.1,282,1.59,379.1,5040,7.52%,23.2,0.46%,268.1,1.67,0.0000,0.0203,0.0045,0,9,2,425,450,
GZH551港隆城-PH,	257,深圳市场,深圳市,181,0,181,0%,90.61%,58,32.04%,4,2.21%,25.2,17.4,7.7,35.6,128,1.41,506.6,5040,10.05%,26.8,0.53%,96.2,1.88,0.0884,0.0442,0.0497,16,8,9,164,181,
GZ1841航洋国际店PH,	400,深圳市场,南宁市,216,18,212,8.33%,97.6%,85,40.87%,3,1.39%,20.8,9.2,11.5,31.5,173,1.25,200.3,4830,4.15%,3.1,0.06%,166.4,1.30,0.0000,0.0625,0.0433,0,13,9,203,217,
GZ1595英德店PH,	664,广州市场,清远市,64,10,62,15.63%,96.77%,45,72.58%,1,1.56%,17.0,7.6,9.4,26.0,54,1.19,33.4,2160,1.54%,2.0,0.09%,54.2,1.18,0.0000,0.0000,0.0323,0,0,2,60,64,
PSH840衢州万达,	1046,杭州市场,衢州市,206,30,205,14.56%,89.27%,73,35.61%,0,0%,21.8,12.7,9.1,33.3,162,1.27,221.1,5040,4.39%,12.0,0.24%,171.0,1.20,0.0000,0.0244,0.0049,0,5,1,183,205,
PBJ771紫竹院店PHHS,	2148,北京市场,北京市,1190,20,1178,1.68%,92.31%,799,68.29%,11,0.92%,14.7,4.2,10.6,25.9,631,1.89,90.0,5040,1.79%,0.0,0%,556.0,2.14,0.0068,0.0188,0.0111,8,22,13,1080,1187,
YLC006佛山罗村餐厅,	2092,广州市场,佛山市,257,65,256,25.29%,85.49%,100,39.22%,1,0.39%,19.4,10.4,9.6,33.2,192,1.34,300.4,5040,5.96%,4.6,0.09%,164.8,1.56,0.0471,0.3647,0.0549,12,93,14,218,257,
GZ1562乐都汇PH店,	561,广州市场,广州市,190,15,189,7.89%,97.34%,177,94.15%,1,0.53%,14.7,6.0,8.7,22.3,151,1.26,134.8,5040,2.68%,0.0,0%,93.6,2.03,0.0106,0.0372,0.0000,2,7,0,183,190,
GZH709滨江东HS,	2314,广州市场,广州市,375,32,374,8.53%,97.59%,161,43.05%,1,0.27%,19.7,9.4,10.2,31.7,243,1.54,191.9,5040,3.81%,19.0,0.38%,203.3,1.84,0.0160,0.1257,0.0321,6,47,12,365,375,
GZ2516观澜PH,	246,深圳市场,深圳市,378,65,373,17.2%,92.76%,127,34.05%,2,0.53%,21.1,10.3,10.8,34.0,263,1.44,409.7,4830,8.48%,46.2,0.96%,273.7,1.38,0.0054,0.0590,0.0080,2,22,3,346,378,
GYY003海三路,	2682,广州市场,佛山市,186,48,183,25.81%,77.6%,64,34.97%,6,3.23%,23.3,13.0,11.4,38.2,140,1.33,266.9,5033,5.3%,35.2,0.7%,154.8,1.20,0.0000,0.0546,0.0273,0,10,5,142,186,
PSH789杭州百大花园,	2298,杭州市场,杭州市,622,17,616,2.73%,93.02%,366,59.42%,2,0.32%,20.6,9.3,11.2,31.3,362,1.72,15.1,5040,0.3%,0.0,0%,357.0,1.74,0.0000,0.0390,0.0097,0,24,6,573,622,
PSH104椒江耀达,	1230,杭州市场,台州市,602,25,601,4.15%,96.33%,313,52.25%,0,0%,16.0,5.9,10.1,28.8,349,1.72,19.6,4830,0.41%,8.6,0.18%,463.5,1.30,0.0134,0.0401,0.0067,8,24,4,577,606,
GZH704天河公园HS,	2252,广州市场,广州市,951,41,940,4.31%,98.18%,561,60.13%,1,0.11%,15.5,2.6,12.9,28.0,557,1.71,22.2,5040,0.44%,0.0,0%,595.6,1.60,0.0193,0.0257,0.0118,18,24,11,916,953,
