餐厅名称,餐厅ID,市场,城市,订单TC,人工干预TC,去除大单TC,人工干预TC占比,准点率,30分钟内送达TC,30分钟送达TC占比,投诉TC,投诉TC占比,平均离店时间,等待骑手时间,等待餐点时间,订单平均完成时间,趟次,并单率,延时时间,宅急送营业时间,延时占营业时间,停单时间,停单占营业时间,骑手实际工作时间,CPH,到店违规占比,妥投违规占比,离店违规占比,到店违规TC,妥投违规TC,离店违规TC,准时TC,计费TC,
GZH761海甸PHHS,	2461,深圳市场,海口市,854,58,853,6.79%,93.87%,407,48%,4,0.47%,18.5,6.4,12.0,31.1,513,1.66,103.9,5040,2.06%,29.8,0.59%,445.0,1.92,0.0024,0.0590,0.0094,2,50,8,796,855,
PSH575台州天台太平洋PH,	2059,杭州市场,台州市,206,17,204,8.25%,98.04%,113,55.39%,0,0%,19.0,8.0,11.0,29.6,158,1.30,60.1,5040,1.19%,5.4,0.11%,206.8,1.00,0.0000,0.0098,0.0098,0,2,2,200,206,
PBJ748马连洼PHHS,	2334,北京市场,北京市,1806,30,1775,1.66%,94.29%,1056,59.66%,6,0.33%,13.9,3.3,10.6,28.0,906,1.99,112.5,5040,2.23%,0.0,0%,806.8,2.24,0.0119,0.0458,0.0124,21,81,22,1669,1806,
PSH059杭州西城,	305,杭州市场,杭州市,347,92,343,26.51%,95.34%,161,46.94%,1,0.29%,21.4,10.2,11.1,30.8,231,1.50,109.8,5040,2.18%,0.0,0%,233.7,1.49,0.0058,0.0641,0.0146,2,22,5,327,347,
PBJ038阜成门,	844,北京市场,北京市,724,48,715,6.63%,96.08%,344,48.11%,8,1.1%,18.4,4.2,14.3,30.6,359,2.02,49.8,5040,0.99%,0.0,0%,343.8,2.11,0.0000,0.0182,0.0420,0,13,30,687,725,
PBJ108牡丹园,	2013,北京市场,北京市,638,21,630,3.29%,97.14%,331,52.62%,1,0.16%,16.1,8.9,7.2,30.0,418,1.53,145.8,5040,2.89%,0.0,0%,353.7,1.80,0.0000,0.0064,0.0000,0,4,0,611,643,
PSH582长兴海洋城店PH,	225,杭州市场,湖州市,261,9,261,3.45%,90.42%,95,36.4%,1,0.38%,22.3,10.2,12.0,33.2,185,1.41,202.2,4830,4.19%,0.0,0%,189.7,1.38,0.0000,0.0383,0.0038,0,10,1,236,263,
GZH558湛江城市广场店PH,	764,广州市场,湛江市,249,4,249,1.61%,95.98%,124,49.8%,0,0%,17.5,6.6,10.9,30.4,169,1.47,26.6,4830,0.55%,0.0,0%,227.5,1.09,0.0000,0.0000,0.0040,0,0,1,239,250,
PSH849杭州新禾联创,	1261,杭州市场,杭州市,301,26,293,8.64%,99.66%,164,55.97%,1,0.33%,20.6,12.9,7.8,29.0,213,1.41,96.5,4830,2%,0.0,0%,181.1,1.66,0.0171,0.0171,0.0068,5,5,2,292,301,
GZ2539安吉万达PH,	408,深圳市场,南宁市,162,17,160,10.49%,91.19%,60,37.74%,5,3.09%,24.4,10.5,13.9,35.3,137,1.18,120.9,5040,2.4%,8.3,0.17%,282.2,0.57,0.0126,0.1069,0.0503,2,17,8,145,161,
